nome;telefone;endereco;link;categoria;horario;
Bradesco;#;R. Professor João Aurélio, 06 - Centro;https://banco.bradesco/;Serviços;Seg a Sex:;10h – 14h | Dom: #;
BANCO DO BRASIL;#;R. Gualdêncio, 160 - Centro;https://www.bb.com.br/;Serviços;Seg a Sex: 10h – 15h | Dom: #;
Hospital São Bento;(33) 3533-1934;Praca Frei Ubaldo, 47 - Centro;https://www.instagram.com/hospital_sao_bento_nc/;Saúde;Seg a Dom: 00h – 24h;
Policlínica Municipal;(33) 3533-1265;R. Jorge Chaim, 2 - Centro;https://www.instagram.com/espacosaudenc/;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Clínica Espaço Saúde;(33) 98712-5467;Av. Júlio Campos, 232 - Centro;https://www.instagram.com/centrodesaudeviverbem/;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Lab. Viver Bem;(33) 98878-8690;R. Jorge Chaim, 34 - Centro;#;Saúde;Sega Sex: 07h – 17h | Dom: #;
Dr. Carlos - Médico;(33) 3533-124;R. Frei Ubaldo, 29 - Centro;#https://www.instagram.com/consultoriomedicodrcarlos/;Saúde;Seg a Sex: 07h – 18h | Dom: #
Dra. Amanda Pereira;(33) 98878-8690;Rua Jorge Chain, 34 - Centro;https://www.instagram.com/amandamopereira/;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Uniforte Diagnósticos;(33) 98824-0138;R. Jorge Chaim, 252 - Centro;https://www.instagram.com/uniforte_diagnosticos/;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Radio Clinik;(33) 99997-4685;Av. Júlio Campos, 138 - Centro;https://www.instagram.com/radioclinik/;Saúde;Seg a Sex: 07h – 17h30 | Dom: #;
Caps;#;R. Maria Cunha, 162 - Centro;#;Saúde;Seg a Sex: 07h – 17h | Dom: #;
UBS São Bento;(33) 3533-1359;R. São Francisco - Centro;#;Saúde;Seg a Sex: 07h – 17h | Dom: #;
UBS Mansur Rachid Lauar;(33) 3533-1403;R. Joaquim Pereira, 13 - Centro;#;Saúde;Seg a Sex: 07h – 17h | Dom: #;
UBS Lufa;(33) 3533-1403;R. Principal - Lufa;#;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Dr Renan Viana - Dentista;(33) 99989-2192;Av. Júlio Campos, 252 - Centro;https://inforempresa.com.br/drrenanviana?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnLgRlONx8OiYGjRloFaED1ONJsXQ3p19WT_BMxDArdRzztC5aNQIW_HKaARQ_aem_ho-mLdo7QXs05b-cqKeu2w;Saúde;Seg a Dom: 00h – 24h;
Dra Roseane Novais;(33) 98741-3625;R. David Mussi, 101 - Centro;https://www.instagram.com/draroseanenovais/;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Dra Gabriella Gonçalves;(33) 3533-1722;Av. Júlio Campos - Centro;#;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Dra Caroline Japur;(33) 98838-5966;R. Jacinto de Carvalho, 429 - São Francisco;https://www.instagram.com/dracarolinejapur/;Saúde;Seg a Sex: 07h – 18h30 | Dom: #;
Dr Andre Luiz Oliveira;(33) 98899-1871;Praça Sargento Noraldino Rosa - Centro;#;Saúde;Seg a Sex: 07h – 19h | Dom: #;
Dra Raira Macedo;(31) 98929-4871;Rua Jorge Chain, 252 - Centro;https://www.instagram.com/raira__macedo/;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Odontologia Casaes;(33) 98811-4115;Av. Júlio Campos, 486 - Centro;https://www.instagram.com/odontologia_casaes/;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Dr Renato Ramos;#;Av. Júlio Campos, 562 - Centro;#;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Dr Carlos e Dr Rodrigo;#;R. David Mussi, 83 - Centro;#;Saúde;Seg a Sex: 07h – 18h | Dom: #;
Posto Novo Cruzeiro;(33) 98814-0595;R. Joaquim Pereira, 488 - Centro;#;Postos;Seg a Dom: 00h – 24h;
Posto Yoguedes;(33) 3532-9176;Av. Sargento Noraldino, 1 - Centro;https://www.instagram.com/postosyoguedesoficial/;Postos;Seg a Dom: 00h – 24h;
Auto Posto Triângulo;#;R. Dr. José Teobaldo Leal, 392 - Triângulo;https://www.instagram.com/posto_triangulonc/;Postos;Seg a Dom: 06h – 22h;
Posto Rede RC;(33) 98708-9274;R. Joaquim Pereira, 729 - Centro;#;Postos;Seg a Dom: 06h – 22h;
Auto Posto São Bento;#;R. Jacinto de Carvalho, 426 - São Francisco;#;Postos;Seg a Dom: 06h – 22h;
Juninho Auto Peças;(33) 98837-3258;Tv. F. Launar, 28 - Centro;https://www.instagram.com/juninhoautopecasoficina/;Oficina;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Dino Auto Elétrica;(33) 98838-6113;R. Dr. José Teobaldo Leal - Triângulo;#;Auto Elétrica;Seg a Sex: 07h – 17h | Dom: 07h – 12h;
MN CAR OFICINA;#;R. Gravata, 244 - Centro;https://www.instagram.com/mncaroficina/;Serviços;Seg a Sex: 07h – 19h | Dom: 07h – 12h;
Motosan Oficina e Peças;(33) 98828-7752;MG-211, 28 - Centro;#;Serviços;Seg a Sex: 07h – 17h | Dom: 07h – 12h;
Br Motos;(33) 98876-9187;R. Dr. José Teobaldo Leal, 287 - Triângulo;https://www.instagram.com/brmotosoficialnc/;Serviços;Seg a Sex: 07h – 19h | Dom: 07h – 12h;
Kolo Motos;(33) 98831-0044;R. Dr. José Teobaldo Leal - Triângulo;https://www.instagram.com/kolomotos/;Serviços;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Rp Motos;(33) 99930-9835;Av. Júlio Campos, 435 - Centro;https://www.instagram.com/rpmotos_nc/;Serviços;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Andradiesel;(33) 99950-4744;R. Joaquim Pereira, 349 - Centro;https://www.instagram.com/mecanicaandradiesel/;Serviços;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Auto Socorro 24H;(33) 98842-6162;Rua Jose Biato - Vila Amaral;#;Serviços;Seg a Dom: 00h – 24h;
MT Lanternagem;(33) 98893-9959;Rua Arcanjo Pereira, 48 - Triângulo;https://www.facebook.com/mtlanternagemepintura/;Serviços;Seg a Sex: 07h – 17h30 | Dom: 07h – 12h;
Lanternagem Bessa;(33) 98882-4790;R. Dr. José Teobaldo Leal, 261 - Triângulo;#;Serviços;Seg a Sex: 07h – 17h30 | Dom: 07h – 12h;
Auto Peças Central;(33) 98820-0137;R. Joaquim Pereira, 52 - Centro;https://www.instagram.com/autopecascentralnc/;Auto Peças;Seg a Sex: 08h – 17h30 | Dom: 08h – 12h;
Pointcar Vistoria;#;Estrada Novo Cruzeiro, 60 - Novilhona;#;Serviços;Seg a Sex: 07h – 17h | Dom: #;
Polícia Militar;190;R. David Mussi, 228 - Centro;https://policiamilitar.mg.gov.br/;Serviços;Seg a Dom: 00h – 24h;
Polícia Civil;(33) 3533-1412;Novo Cruzeiro - Centro;https://www.policiacivil.mg.gov.br/pagina/unidades;Serviços;Seg a Sex: 08h – 18h | Dom: #;
Cras;#;R. Jorge Chaim, 415 - Centro;#;Serviços;Seg a Sex: 07h – 17h | Dom: #;
Sala do Empreendedor;(33) 99878-5897;R. Nice Maravilha, 53 - Centro;https://www.instagram.com/salamineiradoempreendedornc/;Serviços;Seg a Sex: 07h – 17h | Dom: #;
Sindicato Rurais;(33) 98828-3613;R. Joaquim Pereira, 163 - Centro;https://www.instagram.com/sindicato_de_novo_cruzeiro/;Serviços;Seg a Sex: 07h – 15h | Dom: #;
Funerária São Geraldo;(33) 3533-1233;R. Frei Ubaldo, 156 - Centro;#;Serviços;Seg a Dom: 00h – 24h;
Funerária Novo Cruzeiro;(33) 99873-3413;Novo Cruzeiro - MG;https://www.instagram.com/funerarianovo_cruzeiro/;Serviços;Seg a Dom: 00h – 24h;
Funerária Santa Fé;(33) 3533-5023;Pc Frei Ubaldo, 136 - Centro;#;Serviços;Seg a Dom: 00h – 24h;
Rodoviária (Saritur);(33) 99956-3108;R. Pres. Bernardes, 267 - Centro;https://www.saritur.com.br/;Serviços;Seg a Dom: 07h – 19h;
ITA Internet;0800 658 3656;R. Pres. Bernardes, 311 - Centro;https://itainternet.com.br/;Internet;Seg a Sex: 07h – 18h | Dom: #;
GRX Telecom;(33) 99934-1784;Rua Santa Chácara, 144 - Centro;http://www.grxtelecom.com.br/;Internet;Seg a Sex: 08h – 18h | Dom: 08h – 12h;
Bizz Internet;0800 740 4772;R. Joaquim Maravilha, 32 - Centro;https://bizzinternet.com.br/novo-cruzeiro/;Internet;Seg a Sex: 07h – 18h | Dom: #;
Software Informática;(33) 3533-1922;R. Davi Mussi, 253 - Centro;#;Serviços;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Digital Antenas;(33) 98709-5157;R. Pres. Bernardes, 175 - Centro;#;outros;Seg a Sex: 08h – 18h | Dom: 08h – 12h;
Limp + Estofados;(33) 99917-2116;R. Tancredo Neves, 265 - São Bento;#;Serviços;Seg a Sex: 07h – 17h | Dom: 07h – 12h;
Chaveiro Novo Cruzeiro;(33) 98837-6116;R. Cristo Rei, 61 - Centro;#;Serviços;Seg a Dom: 00h – 24h;
Elypê Clinic;(33) 98465-2967;Av. Júlio Campos, 594 - Centro;https://www.instagram.com/elype_clinic/;Beleza e Bem-estar;Seg a Sex: 07h – 18h | Dom: #;
JR Construções;(33) 3533-1570;R. Antônio Esteves Lima, 205 - São Bento;#;Casa e Construção;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Preconst;(33) 3533-1351;R. Inácio Bahia, 352 - Centro;#;Casa e Construção;Seg a Sex: 07h – 18h | Dom: #;
Bonna Massa;(33) 98803-2547;R. Tancredo Neves, 18;https://www.instagram.com/pizzariabonnamassa/;Alimentação;Seg a Dom: 08h – 23h;
Distribuidora Martins;(33) 99866-7452;Rua Jorge Chain, 215 - Centro;https://www.instagram.com/distribuidoramartins.nc;Alimentação;Seg a Sex: 07h – 18h | Dom: 07h – 16h;
Minasgás;(33) 3731-4030;Rua Inácio Bahia, 613 - São Francisco;https://www.supergasbras.com.br/;Serviços;Seg a Sex: 08h – 17h | Dom: #;
Ivan Barber Center;(33) 98842-8497;Rua Pedro Gomes Filho - Centro;https://www.instagram.com/ivan_barber_center/;Beleza e Bem-estar;Seg a Sex: 08h – 20h30 | Dom: #;
D'stak RB Talentos;(33) 98875-0833;Praca Sargento Noraldino Rosa, 06B - Centro;https://booksy.com/pt-br/106879_salao-d-stak-rb-talentos_barbearias_456672_novo-cruzeiro#ba_s=sh_1;Beleza e Bem-estar;Seg a Sex: 07h30 – 18h30 | Dom: 07h30 – 18h;
Império Peças;(33) 98712-7708;R. Dr. José Teobaldo Leal, 946 - Triângulo;https://www.instagram.com/imperiopecasac/;Serviços;Seg a Sex: 07h30 – 18h | Dom: 07h30 – 12h;
